stockid,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
002062.SZ,,,,,,,,,,,,1.0
002063.SZ,,1.0,,,,,,,,,,
002064.SZ,1.0,,,,,1.0,,,,,,
002065.SZ,,,,,1.0,1.0,,,1.0,,,1.0
002066.SZ,,,,,,,,,,,1.0,
002067.SZ,,,,,,,,,1.0,,,
002068.SZ,,,1.0,,,,,,1.0,,,
002069.SZ,,,,,,,,,1.0,,,
002071.SZ,,,,,,1.0,,,,,,
002072.SZ,,,,,,,,,,,,
002073.SZ,,,,1.0,1.0,,,,,,1.0,
002074.SZ,,,,,1.0,,,,,,,
002075.SZ,,,,,,,,,,1.0,,
002076.SZ,,1.0,,,1.0,,,,,,,
002077.SZ,,,,1.0,1.0,,,,,,,
002078.SZ,,,,,1.0,,1.0,,,,,
002079.SZ,,,,,,,,,1.0,,,
002080.SZ,,,,1.0,,,,,,1.0,,
002081.SZ,,,,,,,,,1.0,,,
002082.SZ,,,,,,,,,,,,1.0
002083.SZ,,,,,,,,,,,,
002084.SZ,,,1.0,,1.0,,,,,,,
002085.SZ,,,,,1.0,,,,1.0,,,
002086.SZ,,1.0,,,1.0,,,,,,,1.0
002087.SZ,,,,1.0,,,,,,1.0,,
002088.SZ,,,,,,,,,,,1.0,
002089.SZ,,,,,,,1.0,,,1.0,,
002090.SZ,,,,,1.0,,,,,,,
002091.SZ,,,1.0,,,,,,,,,
002092.SZ,,,,1.0,,,1.0,,,1.0,,
002093.SZ,,,1.0,,,,,,1.0,,,
002094.SZ,,1.0,1.0,1.0,,,,,,,,
002095.SZ,,,,,,,,,,,,
002096.SZ,,,,,,,,1.0,,,,
002097.SZ,,,1.0,,,1.0,,,,,,1.0
002098.SZ,,,,,1.0,,,,,,,
002099.SZ,,,,1.0,,1.0,,,,,,
002100.SZ,,,,,1.0,,1.0,,,1.0,,1.0
002101.SZ,,,1.0,,,,1.0,,,1.0,,
002102.SZ,,,1.0,,1.0,1.0,,,,1.0,,
002103.SZ,,,,,1.0,,,,,,,
002104.SZ,,,,,,,,,,,,
002105.SZ,,,,,,,,,,,,
002106.SZ,,,,,,,1.0,,,,,
002107.SZ,,,,,,,,,,,,1.0
002108.SZ,,,,1.0,,1.0,,1.0,,,1.0,
002109.SZ,,,,1.0,,,,,,,,
002110.SZ,,1.0,,1.0,,,,,,,,
002111.SZ,,,,1.0,1.0,,,,1.0,1.0,,
002112.SZ,,,,,,,,,,,,
002113.SZ,,,1.0,1.0,,,,,,,,
002114.SZ,,,1.0,,,,1.0,,,,,
002115.SZ,,1.0,1.0,,,,,,1.0,,1.0,
002116.SZ,,,,,,,,,,,,
002117.SZ,,,,,,,,,,1.0,,
002118.SZ,,,,1.0,,,,,,1.0,,
002119.SZ,,,,,,,1.0,,,,,
002120.SZ,,1.0,,1.0,,,,,,,,
002121.SZ,,,1.0,,1.0,,,,,1.0,,
002122.SZ,,,,,,,,,,,1.0,
002123.SZ,,,,,1.0,,,,,,1.0,
002124.SZ,,,1.0,,1.0,,,,,,,
002125.SZ,,,,1.0,1.0,,,,1.0,,,
002126.SZ,,,1.0,,1.0,,,,1.0,,,
002127.SZ,,,1.0,1.0,,,,,,1.0,,
002128.SZ,1.0,,,,,1.0,,,,,,
002129.SZ,,1.0,,,1.0,1.0,,1.0,,,,1.0
002130.SZ,,,,1.0,,,,,,,,
002131.SZ,,,,1.0,1.0,1.0,,1.0,,,,
002132.SZ,,,,1.0,,,,,,1.0,,
002133.SZ,,,,,,1.0,,,,,,
002134.SZ,,,,,,,,,,,,
002135.SZ,,,1.0,1.0,,,,,1.0,,,
002136.SZ,,,,,,,,,1.0,,,
002137.SZ,,,,1.0,1.0,,1.0,,,,,
002138.SZ,,,1.0,,,1.0,,,1.0,,,
002139.SZ,,,,1.0,1.0,,,,,,,
002140.SZ,,,,,,,,,,,,
002141.SZ,,,,1.0,,,,,,,,
002142.SZ,,,,,,1.0,,,,1.0,,
002144.SZ,,,,,,,1.0,,,1.0,,
002145.SZ,,,,,1.0,1.0,1.0,,,,,
002146.SZ,,,,,1.0,,,,,,1.0,
002147.SZ,,,,1.0,,,,,,1.0,,
002148.SZ,,,,,,1.0,,,,,,
002149.SZ,,,,1.0,,,,,,,1.0,
002150.SZ,,,,1.0,,,,,,,,
002151.SZ,,,,1.0,1.0,,,,,1.0,,
002152.SZ,,,,1.0,,,,,,,,
002153.SZ,,,,,1.0,,,,,,,
002154.SZ,,,,,,,,1.0,,,1.0,
002155.SZ,,,,1.0,1.0,,,,,,,
002156.SZ,,1.0,,,1.0,,,,,1.0,,
002157.SZ,1.0,,1.0,,1.0,1.0,,,,1.0,,
002158.SZ,,,,,1.0,,,,,,,
002159.SZ,,,,,,1.0,,,,,,
002160.SZ,1.0,1.0,,1.0,1.0,1.0,,,,,,
002161.SZ,,,,,,,,,1.0,,,
002162.SZ,,,,,,1.0,,,,,,
002163.SZ,,,,,,,,,,1.0,,
002164.SZ,,,1.0,,,,,,,1.0,,
002165.SZ,,,,1.0,,,,,1.0,,,
002166.SZ,,,,,1.0,,,,,,,
002167.SZ,,,,,,,,,1.0,,1.0,
002168.SZ,,,,,,,,,1.0,,,
002169.SZ,,,,1.0,1.0,,,,,1.0,,
002170.SZ,,,,1.0,1.0,,,1.0,,,,
002171.SZ,1.0,,1.0,,1.0,1.0,,,,,,
002172.SZ,,1.0,,,1.0,,,,1.0,,,
002173.SZ,,,,1.0,,,,,,,,
002174.SZ,,,1.0,,1.0,1.0,,,,,,
002175.SZ,,,,1.0,,1.0,1.0,,,,,
002176.SZ,,1.0,,1.0,1.0,1.0,,,1.0,,,
002177.SZ,,,,,,,,,,,1.0,
002178.SZ,,,,,1.0,,1.0,,,,,
002179.SZ,,,,,,,1.0,,,,,
002180.SZ,,,1.0,,1.0,1.0,,,,,,
002181.SZ,,,,,,1.0,,1.0,,,,
002182.SZ,,,,1.0,,,,,,,,
002183.SZ,,,,,1.0,,1.0,,,,,
002184.SZ,,,,1.0,,,,,,,,
002185.SZ,,,,,1.0,,,,1.0,,,
002186.SZ,,,,,,1.0,,,,,,
002187.SZ,,,,,,,,,1.0,1.0,,
002188.SZ,,,,,1.0,,,,,,,
002189.SZ,1.0,,,,,,,,,,,
002190.SZ,,1.0,,,,,,,1.0,,,
002191.SZ,,,1.0,,,,,,,,,
002192.SZ,,,,,1.0,,1.0,,,,,
002193.SZ,,,,1.0,,,,,,,,
002194.SZ,,,,1.0,,,,,,,,
002195.SZ,,,,1.0,,1.0,,,,,,
002196.SZ,1.0,,,,1.0,1.0,1.0,,,,,
002197.SZ,,,,1.0,,,1.0,,,,,
002198.SZ,,,,,,,1.0,,,,,
002199.SZ,,,,,,1.0,,,1.0,,,
002200.SZ,,,,,,1.0,,,,,,
002201.SZ,,,,,1.0,,,,,,,
002202.SZ,,,,,1.0,,,,,,,
002203.SZ,,1.0,,,1.0,,,,,,,
002204.SZ,,,,,,,,,1.0,,,
002205.SZ,,,,,,,,,1.0,,,
002206.SZ,,,,1.0,,,,,1.0,,,
002207.SZ,,,,,,1.0,,,,,,
002208.SZ,,,,,,,,,,,,
002209.SZ,,,,,,,,,,,1.0,
002210.SZ,,,,,1.0,,,,,,,
002211.SZ,,,,,,,,,,1.0,,
002212.SZ,,,1.0,,,,,,,1.0,,
002213.SZ,,,,,,,,,,,,
002214.SZ,,,,,,1.0,,,,,,
002215.SZ,,,,,,,,,,1.0,,
002216.SZ,,,,,,,,,1.0,,,
002217.SZ,,,1.0,,1.0,1.0,,,,,,
002218.SZ,,,,,1.0,,,,1.0,,,
002219.SZ,,,,,1.0,,,,,,,
002220.SZ,,,,1.0,,,,,1.0,,,
002221.SZ,,,,1.0,,1.0,,1.0,,,,
002222.SZ,,,,,,,,,,,,
002223.SZ,,,,1.0,,,,,,1.0,,
002224.SZ,,,,,,,1.0,,,,,
002225.SZ,1.0,,,,1.0,1.0,1.0,,,1.0,,
002226.SZ,,1.0,,1.0,,,,,1.0,,,
002227.SZ,,,,,,,,,,,,
002228.SZ,,,1.0,,1.0,,,,,1.0,,
002229.SZ,,,,1.0,,,,,1.0,,,
002230.SZ,1.0,,1.0,1.0,1.0,,1.0,,1.0,,,
002231.SZ,,,,,,,,,1.0,,,
002232.SZ,,,,,,,,,,,,
002233.SZ,,,1.0,,,,,,,,,
002234.SZ,,,,,,,,,1.0,,,
002235.SZ,,,,1.0,,,,,,,,
002236.SZ,,,,,,,1.0,,,,,
002237.SZ,,,,,,,,,1.0,,,
002238.SZ,,,,,,1.0,,,,,,
002239.SZ,,,,1.0,1.0,,,,,,,
002240.SZ,1.0,,1.0,,,,,,,,,
002241.SZ,,,,,,,,1.0,,1.0,,
002242.SZ,,,,,,,,,,,,
002243.SZ,1.0,,,,,,1.0,,,,,
002244.SZ,,,,1.0,,,,,,,,
002245.SZ,,,,,,1.0,,,,,,
002246.SZ,,1.0,1.0,,,,1.0,,,,,
002247.SZ,,,,1.0,,,1.0,,,,,
002248.SZ,,,,,,1.0,,,,1.0,,
002249.SZ,,,,1.0,,1.0,,,1.0,,,
002250.SZ,,,1.0,,,,,,1.0,,,
002251.SZ,,,,1.0,1.0,,1.0,,,,,
002252.SZ,,,,,1.0,1.0,,,,,,
002253.SZ,,,,,1.0,,,,1.0,,,
002254.SZ,,,,,,,,,,,,
002255.SZ,,1.0,1.0,,1.0,,,,,,1.0,
002256.SZ,,,,1.0,,,,,,,,
002258.SZ,,,,,,,,,,,,
002259.SZ,,,,1.0,,,,,1.0,,,
002260.SZ,,,,,,,,,,,,
002261.SZ,,,,,1.0,,,,,,,
002262.SZ,,,,,1.0,,,,,,,
002263.SZ,,,,,1.0,,,,1.0,1.0,,
002264.SZ,,,,1.0,,,,,1.0,,,
002265.SZ,,,1.0,,,,,,,,,
002266.SZ,,,,,,1.0,1.0,,,,,
002267.SZ,,,,,,1.0,,,,,,
002268.SZ,,,1.0,,,1.0,,,,,,
002269.SZ,,,,,,,,,,,,
002270.SZ,,,,1.0,1.0,,,,,,,
002271.SZ,,,,,,1.0,,,1.0,,,
002272.SZ,,,,,,,,1.0,,1.0,,
002273.SZ,,,,,1.0,1.0,,,1.0,,,
002274.SZ,,,,,1.0,,1.0,,,,,
002275.SZ,,,,,,,,,,,,
002276.SZ,,,1.0,,,,,1.0,1.0,,,
002277.SZ,,,,1.0,,,,,,,,
002278.SZ,,,,,,,,,,,,
002279.SZ,,,,,1.0,,,,,,,
002280.SZ,,,,1.0,1.0,1.0,,,,,,
002281.SZ,1.0,,,,,1.0,1.0,,,,,
002282.SZ,,1.0,1.0,,,,,,,,,
002283.SZ,,,,,,,,,1.0,,,
002284.SZ,,,,,,1.0,,,,,,
002285.SZ,,,,,1.0,,,,,,,
002286.SZ,,,,,,,1.0,,,,,
002287.SZ,,,,,,,,,,,,
002288.SZ,,,,,1.0,,,1.0,,,,
002289.SZ,,,,,,1.0,1.0,,,,,
002290.SZ,,,,1.0,,,,,,,,
002291.SZ,1.0,,,,1.0,,,,,,,
002292.SZ,,1.0,,1.0,,1.0,,,,,,
002293.SZ,,1.0,,,,,,,,,,
002294.SZ,,,,,,,,,,,,
002295.SZ,,,,,1.0,,,,,,,
002296.SZ,,,,,,,1.0,,,,,
002297.SZ,,,,1.0,,1.0,,,,,,
002298.SZ,,,,1.0,1.0,,,1.0,,,,
002299.SZ,,,1.0,,1.0,,,,1.0,,,
002300.SZ,,,,,,,,,,,,
002301.SZ,1.0,,1.0,,,,,,,,,
002302.SZ,,,1.0,,,1.0,1.0,,,,,
002303.SZ,,,,1.0,,,,,,,,
002304.SZ,,,,,,,,,,,,
002305.SZ,,,,1.0,,,,,,,,
002306.SZ,,,,,,,,,,,,
002307.SZ,,,1.0,,,,,,1.0,,,
002308.SZ,,,1.0,,,,,,,,,
002309.SZ,,1.0,,1.0,,1.0,,,,,,
002310.SZ,,,,1.0,,,1.0,,,,,
002311.SZ,,,,,,,1.0,,,,,
002312.SZ,,,,,1.0,,,,,,,
002313.SZ,,,,,,,,1.0,,,,
002314.SZ,,,,,1.0,,,,,,,
002315.SZ,,,,,,,,,,,,
002316.SZ,,,,,,,,,,,,
002317.SZ,,,,1.0,,,,,,,,
002318.SZ,,,,,,,,,,,,
002319.SZ,,,,,,,,,,,,
002320.SZ,,,1.0,,,,,,,,,
002321.SZ,,,,1.0,,,1.0,,,,,
002322.SZ,,,,,1.0,,,,,,,
002323.SZ,,,,,1.0,,,,,,,
002324.SZ,,,1.0,,,,,,,,,
002325.SZ,,,,,,1.0,,,,,,
002326.SZ,,,1.0,,,1.0,,,,,,
002327.SZ,,,,,,,,,,,,
002328.SZ,,,,,,,,,,,,
002329.SZ,,,,,1.0,1.0,,,,,,
002330.SZ,,,,,,,,,,,,
002331.SZ,,1.0,,,,1.0,,,1.0,,,
002332.SZ,,,,,1.0,,,,,,,
002333.SZ,,,,,,,,,,,,
002334.SZ,,,,,,,,,,,,
002335.SZ,,,,1.0,,,,,,,,
002336.SZ,,,,,,,,,,,,
002337.SZ,,,,,,,,,,,,
002338.SZ,,,,,,,,,,,,
002339.SZ,,,1.0,,,,1.0,,,,,
002340.SZ,,1.0,,,1.0,1.0,,,1.0,,,
002341.SZ,,1.0,,1.0,,,1.0,,,,,
002342.SZ,,,,,,,,,,,,
002343.SZ,,,1.0,,1.0,,,,,,,
002344.SZ,,,,1.0,,,,,,,,
002345.SZ,,,1.0,,,,1.0,,,,,
002346.SZ,,,,,,1.0,,,,,,
002347.SZ,,,,,,,,,,,,
002348.SZ,,,,,,,,,,,,
002349.SZ,,,,,1.0,,,,,,,
002350.SZ,,,,,,,,,,,,
002351.SZ,,,,,,,,,,,,
002352.SZ,,,1.0,,,,,,,,,
002353.SZ,,,,,,1.0,,,,,,
002354.SZ,,,1.0,,1.0,1.0,,,,,,
002355.SZ,,1.0,,,,,,1.0,,,,
002356.SZ,,,,,,1.0,,,,,,
002357.SZ,,,,,,,,,,,,
002358.SZ,,,,1.0,,,1.0,,,,,
002359.SZ,,,1.0,,,,1.0,,,,,
002360.SZ,,,,,,1.0,,,,,,
002361.SZ,,,,,1.0,1.0,,,,,,
002362.SZ,,,,,,,,,,,,
002363.SZ,,,1.0,,,,1.0,,,,,
002364.SZ,,,,1.0,,,,1.0,,,,
002365.SZ,,,,,,,,,,,,
002366.SZ,,,,,1.0,,,,,,,
002367.SZ,,,,1.0,,,,,,,,
002368.SZ,,,,,,,1.0,,,,,
002369.SZ,,,1.0,,,,,1.0,,,,
002370.SZ,,,,1.0,,,,,,,,
002371.SZ,1.0,,,1.0,,,,1.0,,,,
002372.SZ,,,,,,,,,,,,
002373.SZ,,1.0,,,1.0,1.0,,,,,,
002374.SZ,,,,1.0,,1.0,,1.0,,,,
002375.SZ,,,,,,1.0,,,,,,
002376.SZ,,1.0,,1.0,,,,,,,,
002377.SZ,,,1.0,,,,,,,,,
002378.SZ,,,,,,1.0,,,,,,
002379.SZ,,,,,,,,1.0,,,,
002380.SZ,,,,1.0,,,,,,,,
002381.SZ,,,,1.0,,,,,,,,
002382.SZ,,1.0,,,,,,,,,,
002383.SZ,,,,1.0,1.0,,,,,,,
002384.SZ,,,1.0,,1.0,,,,,,,
002385.SZ,,,,,1.0,,,,,,,
002386.SZ,,1.0,,,,,,,,,,
002387.SZ,,1.0,,,,,,,,,,
002388.SZ,,,1.0,,,,,,,,,
002389.SZ,,,1.0,,1.0,1.0,,1.0,,,,
002390.SZ,,,,1.0,,1.0,,,,,,
002391.SZ,,,,,,,,,,,,
002392.SZ,,,,,,,1.0,,,,,
002393.SZ,,,,,,,,,,,,
002394.SZ,,,,,,,,,,,,
002395.SZ,,,,,,,,,,,,
002396.SZ,,,1.0,,1.0,,,,,,,
002397.SZ,,1.0,,,,,,,,,,
002398.SZ,,,,,,,,,,,,
002399.SZ,,,,,,,,,,,,
002400.SZ,,,,1.0,1.0,,,,,,,
002401.SZ,,,,,,,,,,,,
002402.SZ,,1.0,,,,1.0,,,,,,
002403.SZ,,,,1.0,,,,,,,,
002404.SZ,,1.0,,,,,,,,,,
002405.SZ,,,1.0,,,,,,,,,
002406.SZ,,,,,,,,,,,,
002407.SZ,,1.0,,,1.0,,,,,,,
002408.SZ,,,,,1.0,,,,,,,
002409.SZ,,1.0,1.0,,,,,,,,,
002410.SZ,,,,,,,,,,,,
002411.SZ,,,,1.0,1.0,,,,,,,
002412.SZ,,,,,,,,,,,,
002413.SZ,,,,1.0,1.0,,,,,,,
002414.SZ,,,,1.0,,,,,,,,
002415.SZ,,,,,,,,,,,,
002416.SZ,,,,1.0,,,,,,,,
002417.SZ,,,,,,,,,,,,
002418.SZ,,,,,1.0,,,,,,,
002419.SZ,,,,,,,,,,,,
002420.SZ,,,,,,,,,,,,
002421.SZ,,,,,1.0,1.0,,,,,,
002422.SZ,,,,,,,,,,,,
002423.SZ,1.0,,,,,1.0,,,,,,
002424.SZ,,,,,,,,,,,,
002425.SZ,,,,1.0,1.0,,1.0,,,,,
002426.SZ,,,,1.0,1.0,1.0,,,,,,
002427.SZ,,,,,1.0,,,,,,,
002428.SZ,,,,,,,,,,,,
002429.SZ,,,,1.0,,,,,,,,
002430.SZ,,,1.0,,,1.0,,,,,,
002431.SZ,,,1.0,,1.0,,,,,,,
002432.SZ,,,,1.0,,,,,,,,
002433.SZ,,,,,1.0,1.0,,1.0,,,,
002434.SZ,,,,1.0,,,,,,,,
002435.SZ,,,,1.0,,,,,,,,
002436.SZ,,,,,1.0,,,,,,,
002437.SZ,,,,,,,,,,,,
002438.SZ,,,1.0,1.0,,,,,,,,
002439.SZ,,,1.0,1.0,,,,1.0,,,,
002440.SZ,,,,,,,,,,,,
002441.SZ,,,,1.0,,,,,,,,
002442.SZ,,,,,,,,,,,,
002443.SZ,,,,,,,1.0,,,,,
002444.SZ,,,,1.0,,,,,,,,
002445.SZ,,,1.0,1.0,1.0,,,,,,,
002446.SZ,,,,,1.0,1.0,,,,,,
002447.SZ,,,,,,1.0,,,,,,
002448.SZ,,,,,,,,1.0,,,,
002449.SZ,,,,,1.0,,,,,,,
002450.SZ,,,,1.0,1.0,,,1.0,,,,
002451.SZ,,,,,,,,,,,,
002452.SZ,,,,,,,,,,,,
002453.SZ,,,,,,,1.0,,,,,
002454.SZ,,,,,,,,,,,,
002455.SZ,,,1.0,,,,,,,,,
002456.SZ,,,,1.0,,1.0,1.0,,,,,
002457.SZ,,,,,,,,,,,,
002458.SZ,,,,1.0,,,,,,,,
002459.SZ,1.0,,,,,1.0,,,,,,
002460.SZ,,,,,1.0,,1.0,,,,,
002461.SZ,,,1.0,,,,,,,,,
002462.SZ,1.0,,,1.0,,,,,,,,
002463.SZ,,,,,,,,,,,,
002464.SZ,,,,,,,1.0,,,,,
002465.SZ,,,1.0,,1.0,,,,,,,
002466.SZ,,,,,,1.0,,,,,,
002467.SZ,,,,,1.0,,,,,,,
002468.SZ,,,,1.0,,,,,,,,
002469.SZ,,,,,,,,,,,,
002470.SZ,,1.0,,,,1.0,,,,,,
002471.SZ,,,,,,,,1.0,,,,
002472.SZ,,,,1.0,,,,,,,,
002473.SZ,,,,,,,,,,,,
002474.SZ,,,,,,,,,,,,
002475.SZ,,,,1.0,,1.0,,,,,,
002476.SZ,,,,,,,,,,,,
002478.SZ,,,1.0,,,,,,,,,
002479.SZ,,1.0,,,1.0,,,,,,,
002480.SZ,,,,,,1.0,,,,,,
002481.SZ,,,,,1.0,,,,,,,
002482.SZ,,,,,1.0,,,,,,,
002483.SZ,,,,,1.0,,,,,,,
002484.SZ,,,,1.0,,,,,,,,
002485.SZ,,,,,,,,,,,,
002486.SZ,,,,,,,,,,,,
002487.SZ,,,,,,,,,,,,
002488.SZ,,,1.0,,,1.0,,,,,,
002489.SZ,,,,,,,,,,,,
002490.SZ,,,,,,,,,,,,
002491.SZ,,,1.0,,,1.0,,,,,,
002492.SZ,,,,,1.0,,,,,,,
002493.SZ,,1.0,,1.0,,,,,,,,
002494.SZ,,,,1.0,,1.0,,,,,,
002495.SZ,,,,,,,,,,,,
002496.SZ,,,,,,,,,,,,
002497.SZ,,,,,,,,,,,,
002498.SZ,,,,,,,,1.0,,,,
002499.SZ,,,,,,,,,,,,
002500.SZ,,,,1.0,,,1.0,,,,,
002501.SZ,,,1.0,1.0,,,1.0,,,,,
002502.SZ,,,,,1.0,,,,,,,
002503.SZ,,,,1.0,,,,,,,,
002504.SZ,,,,,,1.0,,,,,,
002505.SZ,,,,,,1.0,,,,,,
002506.SZ,,,,,1.0,,,,,,,
002507.SZ,,,,,1.0,,,,,,,
002508.SZ,,,,,,,,,,,,
002509.SZ,,,,,1.0,1.0,,,,,,
002510.SZ,,,,,,,,,,,,
002511.SZ,,,,,,,,,,,,
002512.SZ,,,,1.0,1.0,,1.0,,,,,
002513.SZ,,,,1.0,,,,,,,,
002514.SZ,,,,,,1.0,,,,,,
002515.SZ,,,,,1.0,,,,,,,
002516.SZ,,,,1.0,,,,,,,,
002517.SZ,,,,1.0,1.0,,,,,,,
002518.SZ,,,,,,,,,,,,
002519.SZ,,,,1.0,,1.0,,,,,,
002520.SZ,1.0,,,,1.0,,,,,,,
002521.SZ,,,,,,,,,,,,
002522.SZ,,,1.0,,,,,,,,,
002523.SZ,,,,,1.0,,,,,,,
002524.SZ,,,,,,,1.0,,,,,
002526.SZ,,1.0,1.0,,,,,,,,,
002527.SZ,,,,1.0,,1.0,,,,,,
002528.SZ,,1.0,,1.0,1.0,,,,,,,
002529.SZ,,,,1.0,,,,,,,,
002530.SZ,,,,1.0,,,,,,,,
002531.SZ,,,,1.0,,,,,,,,
002532.SZ,,,,,,,,,,,,
002533.SZ,,,,,,,,,,,,
002534.SZ,,,,,,,,,,,,
002535.SZ,,,,,1.0,,,,,,,
002536.SZ,,,,,1.0,,,,,,,
002537.SZ,,,,1.0,,,,,,,,
002538.SZ,,,,,1.0,,,,,,,
002539.SZ,,,,,1.0,,,,,,,
002540.SZ,,,1.0,,,,,,,,,
002541.SZ,,,,1.0,,,,,,,,
002542.SZ,,,,1.0,1.0,1.0,,,,,,
002543.SZ,,,,,,,,,,,,
002544.SZ,,,1.0,,,,,,,,,
002545.SZ,,,,1.0,,,,,,,,
002546.SZ,,,,1.0,,,,,,,,
002547.SZ,,,1.0,,,1.0,,,,,,
002548.SZ,,,,,1.0,,,,,,,
002549.SZ,,,,,,,,,,,,
002550.SZ,,,,,,,,,,,,
002551.SZ,,,1.0,1.0,,,,,,,,
002552.SZ,,,1.0,,,,,,,,,
002553.SZ,,,,,,,,,,,,
002554.SZ,,,,,1.0,,,,,,,
002555.SZ,,,1.0,1.0,,1.0,,,,,,
002556.SZ,,,,,,,,,,,,
002557.SZ,,,,,,,,,,,,
002558.SZ,,,,1.0,,,,,,,,
002559.SZ,,,,,1.0,,,,,,,
002560.SZ,1.0,,,,,1.0,,,,,,
002561.SZ,,,,,,,,,,,,
002562.SZ,,,,,1.0,,,,,,,
002563.SZ,,,,,,,,,,,,
002564.SZ,,1.0,,,,,1.0,,,,,
002565.SZ,,1.0,,,,,,,,,,
002566.SZ,,,,,,,,,,,,
002567.SZ,,,1.0,,1.0,,,,,,,
002568.SZ,,,,1.0,1.0,,,,,,,
002569.SZ,,,,,,,,,,,,
002570.SZ,,,,,,,,,,,,
002571.SZ,,,,,,,1.0,,,,,
002572.SZ,,,,1.0,,,,,,,,
002573.SZ,,,,,,,,,,,,
002574.SZ,,,,,,,,,,,,
002575.SZ,,,,,,,,,,,,
002576.SZ,,,,,,,,,,,,
002577.SZ,,,,,,,,,,,,
002578.SZ,,,,1.0,,,,,,,,
002579.SZ,,,,1.0,,,,,,,,
002580.SZ,,,,,1.0,,,,,,,
002581.SZ,,,,,1.0,,,,,,,
002582.SZ,,,,1.0,,,,,,,,
002583.SZ,,,1.0,1.0,,,,,,,,
002584.SZ,,,,,1.0,,,,,,,
002585.SZ,,,1.0,,,1.0,,,,,,
002586.SZ,,1.0,1.0,,,1.0,,,,,,
002587.SZ,,,1.0,1.0,,,,,,,,
